Fecha,TRM (COP)
2025-12-18,3866.77
2025-12-19,3874.71
2025-12-20,3817.93
2025-12-23,3792.59
2025-12-24,3759.48
2025-12-25,3706.94
2025-12-27,3716.05
2025-12-30,3706.97
2025-12-31,3757.08
2026-01-03,3790.77
2026-01-06,3770.03
2026-01-07,3730.26
2026-01-08,3748.83
2026-01-09,3734.67
2026-01-10,3717.09
2026-01-14,3663.24
2026-01-15,3655.16
2026-01-16,3687.32
2026-01-17,3700.05
2026-01-21,3682.97
2026-01-22,3669.15
2026-01-23,3630.33
2026-01-24,3637.88
2026-01-27,3676.02
2026-01-28,3678.59
2026-01-29,3665.97
2026-01-30,3661.29
2026-01-31,3670.47
2026-02-03,3628.16
2026-02-04,3622.00
2026-02-05,3644.93
2026-02-06,3691.75
2026-02-07,3670.20
2026-02-10,3651.90
2026-02-11,3659.71
2026-02-12,3671.01
2026-02-13,3665.78
2026-02-14,3652.89
2026-02-18,3664.26
2026-02-19,3669.21
2026-02-20,3695.72
2026-02-21,3691.34
2026-02-24,3697.36
2026-02-25,3703.28
2026-02-26,3703.69
2026-02-27,3745.78
2026-02-28,3766.30
2026-03-03,3768.73
2026-03-04,3797.64
2026-03-05,3751.41
2026-03-06,3767.94
2026-03-07,3795.55
2026-03-10,3744.84
2026-03-11,3710.50
2026-03-12,3687.87
2026-03-13,3700.46
2026-03-14,3685.53
2026-03-17,3691.90
2026-03-18,3689.97
2026-03-19,3704.17
2026-03-20,3692.48
2026-03-21,3704.87
2026-03-25,3700.67
2026-03-26,3688.46
2026-03-27,3675.29
2026-03-28,3668.89
2026-03-31,3669.96
2026-04-01,3660.10
2026-04-02,3675.81
2026-04-07,3664.41
2026-04-08,3678.19
2026-04-09,3640.63
2026-04-10,3642.93
2026-04-11,3631.49
2026-04-14,3608.10
2026-04-15,3578.82
2026-04-16,3603.19
2026-04-17,3615.10
2026-04-18,3593.14
2026-04-21,3573.30
2026-04-22,3576.05
2026-04-23,3568.88
2026-04-24,3560.62
2026-04-25,3551.17
2026-04-28,3593.17
2026-04-29,3633.76
2026-04-30,3621.86
